pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2013-05-05 00:00:00,2013-05-05 00:08:00,1,480,0.58,-73.987442,40.719864,-74.002167,40.729973
2013-05-05 00:00:00,2013-05-05 00:08:00,1,480,1.13,-73.995361,40.730686,-74.001129,40.717999
2013-05-05 00:00:00,2013-05-05 00:23:00,2,1380,7.29,-73.984703,40.719639,-73.947929,40.770386
2013-05-05 00:00:00,2013-05-05 00:05:00,1,300,1.17,-73.999832,40.719193,-74.005615,40.709106
2013-05-05 00:00:00,2013-05-05 00:22:00,1,1320,9.75,-73.987732,40.721092,-74.008308,40.623669
2013-05-05 00:00:00,2013-05-05 00:18:00,1,1080,4.89,-73.981445,40.774319,-73.919746,40.764992
2013-05-05 00:00:00,2013-05-05 00:32:00,5,1920,6.39,-73.955902,40.717514,-73.991806,40.759747
2013-05-05 00:00:00,2013-05-05 00:13:00,1,780,2.77,-73.993019,40.720387,-73.996193,40.748405
2013-05-05 00:00:00,2013-05-05 00:07:00,1,420,1.82,-73.980667,40.734009,-73.984718,40.752186
2013-05-05 00:00:00,2013-05-05 00:12:00,1,720,0.77,-73.977684,40.729298,-73.986404,40.724194
2013-05-05 00:00:00,2013-05-05 00:06:00,1,360,1.11,-73.968018,40.800926,-73.967178,40.789291
2013-05-05 00:00:00,2013-05-05 00:17:00,1,1020,4.33,-73.979874,40.745991,-73.991051,40.682888
2013-05-05 00:00:00,2013-05-05 00:05:00,5,300,1.04,-73.994797,40.751911,-74.002304,40.751842
2013-05-05 00:00:00,2013-05-05 00:07:00,5,420,1.38,-73.9972,40.724792,-73.985657,40.741573
2013-05-05 00:00:00,2013-05-05 00:15:00,3,900,3.38,-73.992867,40.748917,-73.955154,40.769321
2013-05-05 00:00:00,2013-05-05 00:09:00,1,540,1.5,-73.984016,40.740578,-73.987663,40.725491
2013-05-05 00:00:00,2013-05-05 00:10:11,1,611,2.1,0.0,0.0,0.0,0.0
2013-05-05 00:00:00,2013-05-05 00:27:00,1,1620,10.37,-73.982925,40.742352,-73.982925,40.742352
2013-05-05 00:00:00,2013-05-05 00:04:00,3,240,1.0,-73.986214,40.740452,-73.982002,40.751694
2013-05-05 00:00:00,2013-05-05 00:04:00,1,240,0.87,-73.958321,40.717407,-73.95723,40.709518
2013-05-05 00:00:00,2013-05-05 00:06:00,1,360,1.37,-74.002312,40.729271,-73.963104,40.77198
2013-05-05 00:00:00,2013-05-05 00:10:00,4,600,2.68,-73.965958,40.805122,-73.941925,40.837971
2013-05-05 00:00:00,2013-05-05 00:25:00,3,1500,4.84,-74.008499,40.716785,-73.983513,40.758926
2013-05-05 00:00:00,2013-05-05 00:14:00,1,840,7.82,-73.993095,40.763023,-73.936996,40.854836
2013-05-05 00:00:00,2013-05-05 00:08:00,1,480,1.67,-73.975914,40.730572,-73.992012,40.737633
2013-05-05 00:00:00,2013-05-05 00:08:00,4,480,1.5,-73.994774,40.759941,-74.005211,40.741047
2013-05-05 00:00:00,2013-05-05 00:09:00,4,540,1.75,-74.006493,40.743271,-73.995865,40.748817
2013-05-05 00:00:00,2013-05-05 00:09:00,1,540,2.41,-73.970848,40.796139,-73.947784,40.825024
2013-05-05 00:00:00,2013-05-05 00:23:00,1,1380,3.64,-73.990005,40.737568,-73.952934,40.697159
2013-05-05 00:00:00,2013-05-05 00:07:00,2,420,1.12,-74.008537,40.719543,-73.997757,40.722408
2013-05-05 00:00:00,2013-05-05 00:09:00,3,540,1.65,-73.974091,40.742943,-73.991295,40.754745
2013-05-05 00:00:00,2013-05-05 00:08:00,5,480,1.64,-73.990097,40.719238,-73.997566,40.736301
2013-05-05 00:00:00,2013-05-05 00:09:00,1,540,2.57,-73.981956,40.770931,-73.95443,40.787327
2013-05-05 00:00:00,2013-05-05 00:13:00,5,780,2.06,-74.007034,40.716248,-73.983742,40.729584
2013-05-05 00:00:00,2013-05-05 00:06:00,1,360,0.91,-73.985611,40.763203,-73.972763,40.758068
2013-05-05 00:00:00,2013-05-05 00:12:00,1,720,2.86,-73.97995,40.764011,-73.974403,40.793537
2013-05-05 00:00:00,2013-05-05 00:13:00,1,780,2.7,0.0,0.0,0.0,0.0
2013-05-05 00:00:00,2013-05-05 00:26:00,3,1560,5.93,-73.991776,40.7271,-73.9366,40.669605
